Angles of attack,(0.0, 10.0, 1.0)
Reynolds numbers,[15000.0, 30000.0, 45000.0, 60000.0]
ncrits,[2.5, 3.0]

aoa_ld,[3.0, 4.0, 5.0]
inv_min_drag_scaling,0.25

dat file,thickness,max_thickness_x,avg_max_lift,avg_max_lift_angle,avg_max_lift_to_drag,avg_max_lift_to_drag_angle,avg_min_drag,avg_min_drag_angle,avg l/d at aoa_ld angles,(1/avg_min_drag) / divider,global score,status
e521.dat,0.13768,0.37019,0.7208125,9.0,19.7924870233,7.36875,0.0296654480178,3.735,13.1366206915,8.42731246972,21.5639331612,ok
fxlv152.dat,0.1528,0.37056,0.736757412935,8.98875,19.857132118,7.72875,0.0308214639745,0.09,12.9922762,8.11123054397,21.103506744,ok
fx711530.dat,0.15,0.33928,0.695369904499,8.86375,18.3737224908,7.04125,0.0310489510602,0.1125,12.7015122064,8.05180179888,20.7533140053,ok
fx71l150.dat,0.15,0.33928,0.695369904499,8.86375,18.3737224908,7.04125,0.0310489510602,0.1125,12.7015122064,8.05180179888,20.7533140053,ok
ah85l120.dat,0.1211,0.43474,0.63077241291,7.9275,16.743269063,5.73,0.0294319922255,2.4725,12.2315846115,8.4941582644,20.7257428759,ok
goe410.dat,0.161,0.3,0.603338531475,8.60625,16.8467910695,6.22125,0.0305080691457,0.34875,12.4865425557,8.19455334279,20.6810958985,ok
fx711525.dat,0.15002,0.33928,0.696325,9.0,18.1635120509,6.975,0.0312745618436,0.70875,12.5373471206,7.99371710626,20.5310642269,ok
fx711520.dat,0.15002,0.33928,0.7022875,9.0,17.8166199417,6.93,0.0319470670126,0.77625,12.2586432093,7.82544450485,20.0840877142,ok
e476.dat,0.16728,0.31687,0.680803659072,8.865,18.4799630095,6.64875,0.0327533316035,0.41625,11.8730698808,7.63281131295,19.5058811938,ok
e520.dat,0.15008,0.3674,0.696422630323,8.9775,18.5696323523,7.7175,0.0324092633759,2.12625,11.4208748113,7.71384394334,19.1347187547,ok
e837.dat,0.16106,0.36943,0.649078719303,8.85375,17.3763248553,8.325,0.0333164106428,0.27,10.3898852177,7.50380953939,17.8936947571,ok
goe460.dat,0.205,0.3,0.563609282776,8.56125,11.6251700916,7.65,0.0404560468322,0.64125,8.19189889767,6.17954594122,14.3714448389,ok
e838.dat,0.18368,0.37177,0.5284625,9.0,11.1153115276,8.98875,0.0404020046536,0.39375,5.88335867192,6.1878117718,12.0711704437,ok
griffith30SymSuction.dat,0.305704,0.49265,0.34295,9.0,3.29001551437,8.98875,0.107319479577,6.46875,1.52735839768,2.32949321955,3.85685161724,ok
e862.dat,0.32374,0.28467,0.101391992577,6.795,1.07726026497,6.39,0.0745213810006,1.8675,-0.788715552139,3.35474190955,2.56602635741,ok
e863.dat,0.3573,0.2851,0.0127358780795,1.35,0.174564419788,1.35,0.0910259951192,2.61625,-2.26529971494,2.74646818936,0.481168474427,ok
e864.dat,0.38826,0.32692,0.0183158563367,0.14625,0.184250067011,0.09,0.10805116488,4.17375,-2.84448472326,2.31371869316,-0.530766030107,ok
fx76100.dat,0.10066,0.27886,-1,-1,-1,-1,-1,-1,-1,-1,-1,ValueError
fx76120.dat,0.1207,0.27886,-1,-1,-1,-1,-1,-1,-1,-1,-1,ValueError
fx77080.dat,0.08048,0.27886,-1,-1,-1,-1,-1,-1,-1,-1,-1,ValueError
fx79l100.dat,0.10066,0.33928,-1,-1,-1,-1,-1,-1,-1,-1,-1,ValueError
fx79l120.dat,0.12068,0.33928,-1,-1,-1,-1,-1,-1,-1,-1,-1,ValueError
gf_topiko.dat,0.0606486,0.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,TypeError
goe445.dat,0.064,0.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,ValueError
lwk80150k25.dat,0.15042,0.40245,-1,-1,-1,-1,-1,-1,-1,-1,-1,ValueError
n64008a.dat,0.07996,0.4,0.59278546622,6.23125,nan,3.67625,0.0174755435706,1.31875,nan,14.3057066574,nan,ok
